instancia,valor_obtido,peso,valor_otimo,comparacao,diferenca,gap_percentual,geracao_paragem,tempo_execucao_s
n_1000_1,9999827001,9999821489,9999946233,ABAIXO,-119232,0.001192,500,8.8148
n_1000_2,9999841883,9999831150,9999964987,ABAIXO,-123104,0.001231,500,8.4386
n_1000_3,9999856853,9999839342,9999229281,ACIMA,627572,-0.006276,500,9.0686
n_1000_4,9999545987,9999540402,9999239905,ACIMA,306082,-0.003061,500,11.557
n_1000_5,9999561483,9999550892,9999251796,ACIMA,309687,-0.003097,500,11.5908
n_1000_6,9999575219,9999559123,9996100344,ACIMA,3474875,-0.034762,382,6.9963
n_1000_7,9996105203,9996103380,9996105266,ABAIXO,-63,1e-06,281,5.1128
n_1000_8,9996111404,9996109184,9996111502,ABAIXO,-98,1e-06,187,3.564
n_1000_9,9980486301,9980480212,9980488131,ABAIXO,-1830,1.8e-05,356,6.4019
n_1000_10,9980504960,9980492524,9980507700,ABAIXO,-2740,2.7e-05,500,8.9993
