instancia,valor_obtido,peso,valor_otimo,comparacao,diferenca,gap_percentual,tempo_execucao_segundos
n_1000_1,9999826790,9999820924,9999946233,ABAIXO,-119443,0.001194,7.322225
n_1000_2,9999841353,9999830828,9999964987,ABAIXO,-123634,0.001236,7.029901
n_1000_3,9999856358,9999838154,9999229281,ACIMA,627077,-0.006271,7.056619
n_1000_4,9999545566,9999539757,9999239905,ACIMA,305661,-0.003057,7.063301
n_1000_5,9999561326,9999550207,9999251796,ACIMA,309530,-0.003096,7.215396
n_1000_6,9999574529,9999558126,9996100344,ACIMA,3474185,-0.034755,7.097998
n_1000_7,9996105233,9996103322,9996105266,ABAIXO,-33,0.0,7.197849
n_1000_8,9996111470,9996109514,9996111502,ABAIXO,-32,0.0,7.131978
n_1000_9,9980485730,9980479506,9980488131,ABAIXO,-2401,2.4e-05,6.953504
n_1000_10,9980503982,9980490739,9980507700,ABAIXO,-3718,3.7e-05,7.213223
