instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,seed,initial_value,best_value,total_weight,optimal_value,comparison,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,50,500,0.8500,0.0050,3,3,42,9999826039,9999827097,9999821320,9999946233,ABAIXO,119136,0.001191,500,0.4364
n_1000_2,50,500,0.8500,0.0050,3,3,42,9997852631,9999857382,9999839689,9999964987,ABAIXO,107605,0.001076,500,0.4282
n_1000_3,50,500,0.8500,0.0050,3,3,42,9999228209,9999228930,9999225789,9999229281,ABAIXO,351,0.000004,500,0.3967
n_1000_4,50,500,0.8500,0.0050,3,3,42,9999238389,9999239620,9999231933,9999239905,ABAIXO,285,0.000003,500,0.4089
n_1000_5,50,500,0.8500,0.0050,3,3,42,9996904978,9999251390,9999240852,9999251796,ABAIXO,406,0.000004,500,0.4070
n_1000_6,50,500,0.8500,0.0050,3,3,42,9742193994,9996100334,9996099858,9996100344,ABAIXO,10,0.000000,313,0.2480
n_1000_7,50,500,0.8500,0.0050,3,3,42,9781261413,9996105192,9996103187,9996105266,ABAIXO,74,0.000001,224,0.1779
n_1000_8,50,500,0.8500,0.0050,3,3,42,9996111288,9996111467,9996109595,9996111502,ABAIXO,35,0.000000,398,0.3161
n_1000_9,50,500,0.8500,0.0050,3,3,42,9980482787,9980486289,9980480202,9980488131,ABAIXO,1842,0.000018,500,0.3943
n_1000_10,50,500,0.8500,0.0050,3,3,42,9980497336,9980504089,9980490693,9980507700,ABAIXO,3611,0.000036,210,0.1680
